id,accident_id,plate_number,vin,body_number,vehicle_type_id,mark_code,model_code,driver_guilt_option_id,traffic_direction_from,traffic_direction_to,object_id,is_drunk,is_unidentified_vehicle,is_vehicle_left_accident,driver_comment,yellow_number,is_damaged,is_circumstance_inconsistency,is_traffic_direction_inconsistency,is_road_sign_inconsistency,is_collision_sequence_inconsistency,accident_number,accident_date,is_injured_person,is_property_damage,road_condition_id,weather_condition_id,illumination_condition_id,visibility_condition_id,accident_classification_id,model_img,model_scheme,other,address_id,road_surface_condition_id,id-2,is_confirmation_passed
107761,51014,37MD917,X9627520070548231,2.75201E+13,1,93,21,3,1 -?? ???????,3 ?? ?????,526159,FALSE,FALSE,FALSE,????????? ???? ?????? ????????? ?????? ?? ????????? ?????????,,TRUE,,,,,AAM300720220105078,2022-07-30 13:05:00+04,FALSE,FALSE,1,,,5,2,,,,94437,1,51014,FALSE
107764,51015,34QM667,NT30-158985,,2,204,178,3,???? ????,?????????? ???,527350,FALSE,FALSE,FALSE,?? ????? ??????? ???????? ??? ???????? ?????? ?????,,TRUE,,,,,AYR270720221225684,2022-07-27 12:25:00+04,FALSE,FALSE,1,,,1,2,,,,94439,1,51015,FALSE
107763,51015,72QQ008,WBAHG51010GK92207,,2,26,69,3,????????????,??????? ??,527422,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR270720221225684,2022-07-27 12:25:00+04,FALSE,FALSE,1,,,1,2,,,,94439,1,51015,FALSE
107766,51016,22OS831,4JGAB54E9YA166634,,2,190,387,3,????????,??????? ???,524732,FALSE,FALSE,FALSE,,,TRUE,,,,,AYR220720220645215,2022-07-22 18:45:00+04,FALSE,FALSE,1,,,1,2,,,,94441,1,51016,FALSE
107765,51016,77UI771,1G1BE5SM8J7148941,,2,43,300,3,????????????????,???????? ??????,524733,FALSE,FALSE,FALSE,"???????? ??? ????? ??????? 5,2 ? 5,3 ??????? ???????????? ???",,TRUE,,TRUE,,,AYR220720220645215,2022-07-22 18:45:00+04,FALSE,FALSE,1,,,1,2,,,,94441,1,51016,FALSE
107768,51017,34QO395,J31-015519,,2,204,196,3,??????? ???????,?????,526576,FALSE,FALSE,FALSE,,,TRUE,,,,,AAM290720220420992,2022-07-29 16:20:00+04,FALSE,FALSE,1,,,1,2,,,,94443,1,51017,FALSE
107767,51017,36AQ826,1NXBU4EE8AZ206133,,2,265,46,3,????????,??????? ???????,526688,FALSE,FALSE,FALSE,,,TRUE,,,,,AAM290720220420992,2022-07-29 16:20:00+04,FALSE,FALSE,1,,,1,2,,,,94443,1,51017,FALSE
107771,51018,36RU016,W0L0TGF35X2193709,,2,210,13,3,??????? ?,???????? ?,527442,FALSE,FALSE,FALSE,5.4 2?? ?????? ??? ???????? ???,,TRUE,,,,,AYR270720220635310,2022-07-27 18:35:00+04,FALSE,FALSE,1,,,1,2,,,,94445,1,51018,FALSE
107770,51018,36TO409,5J8TB1H53CA002435,,2,1,6,3,??????? ?,???????? ?,527372,FALSE,FALSE,FALSE,?????? ???????????????? ?????? ????? ?????? ?? ?? ????????? ???????? ??? ??????,,TRUE,,,,,AYR270720220635310,2022-07-27 18:35:00+04,FALSE,FALSE,1,,,1,2,,,,94445,1,51018,FALSE
107769,51018,GEHD509DH,,,2,,,3,?????? ?,???????? ?,527371,FALSE,FALSE,FALSE,"5.4 2?? ?????? ???? ? ????? ??????? ?????????, ???????? ?? ????????? ??????",,TRUE,,,,,AYR270720220635310,2022-07-27 18:35:00+04,FALSE,FALSE,1,,,1,2,,,,94445,1,51018,FALSE
